https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請者2,郵便番号,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,施設名,業種,業態,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者＿申請者名,申請者＿代表者,施設＿郵便番号,,所在地１,所在地２,施設＿電話番号１（所在地）,施設＿名称（屋号・商号）１,,業態,営業の期間＿終了日,許可年月日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
合同会社アクラス,富松　明仁,818-0084,福岡県,筑紫野市針摺西２－７－１２,街道ビル１０６,092-408-8600  ,Ｃａｆé＆Ｂａｒ七七四,① 飲食店営業,バー,R10.09.30,R03.12.01,R03.12.01,,401,Ｃａｆé＆Ｂａｒ七七四,092,092-408-8600,,,,福岡県　筑紫野市針摺西２－７－１２,福岡県筑紫野市針摺西２－７－１２,街道ビル１０６,202314,40,40217,針摺西２,,2021/12/01,2021/12/01,,2028/09/30,合同会社アクラス,富松　明仁,,,,,,,,,,,飲食店営業,  バー,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＣａｆeＢａｒ七七四092-408-860020231440217,6cf30576-91cd-4b6d-bfc6-35689d801b93,合同会社アクラス,29ee0bdd-a153-4da6-9cbb-3ed18e0ff00c,981a801c-f70f-4527-83de-fe4aa516eff3,2021/12/01,Ｃａｆé＆Ｂａｒ七七四,ＣａｆeＢａｒ七七四,合同会社アクラス
吉村　理佐,,816-0805,福岡県,春日市千歳町１－３４－１,ツインズ春日２０２,092-558-1944  ,ＣＡＦＥ＆ＢＡＲ　ＮＯ．５,① 飲食店営業,バー,R10.06.30,R03.12.02,R03.12.02,,401,ＣＡＦＥ＆ＢＡＲ　ＮＯ．５,092,092-558-1944,,,,福岡県　春日市千歳町１－３４－１,福岡県春日市千歳町１－３４－１,ツインズ春日２０２,202372,40,40218,千歳町１,,2021/12/02,2021/12/02,,2028/06/30,,吉村　理佐 ,,,,,,,,,,,飲食店営業,  バー,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＣＡＦＥＢＡＲＮＯ５092-558-194420237240218,ba7becfb-c8ac-47a5-8ef3-fa7d8ad85389,,personal,cff95d45-670d-402c-8781-151dc9e40279,2021/12/02,ＣＡＦＥ＆ＢＡＲ　ＮＯ．５,ＣＡＦＥＢＡＲＮＯ５,
合同会社Ｙ・Ｓ・Ｋ,清原　由道,818-0132,福岡県,太宰府市国分３－１－３８,,092-922-9896  ,長浜ラーメン小太郎,① 飲食店営業,ラーメン,R09.12.31,R03.12.06,R03.12.06,,401,長浜ラーメン小太郎,092,092-922-9896,,,,福岡県　太宰府市国分３－１－３８,福岡県太宰府市国分３－１－３８,,202904,40,40221,国分３,,2021/12/06,2021/12/06,,2027/12/31,合同会社Ｙ・Ｓ・Ｋ,清原　由道,,,,,,,,,,,飲食店営業,  ラーメン,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,長浜ラメン小太郎092-922-989620290440221,15f6b900-16a6-4ef1-be0b-d87f488e8f94,合同会社Ｙ・Ｓ・Ｋ,6a696713-c6f0-418d-bc4b-27191398deab,f8ea91c2-fa62-4418-b150-c112ee336479,2021/12/06,長浜ラーメン小太郎,長浜ラメン小太郎,合同会社Ｙ・Ｓ・Ｋ
萩原　隼人,,818-0131,福岡県,太宰府市水城３－４－２４,,092-921-0158  ,水城らあ麺,① 飲食店営業,めん類,R09.12.31,R03.12.06,R03.12.06,,401,水城らあ麺,092,092-921-0158,,,,福岡県　太宰府市水城３－４－２４,福岡県太宰府市水城３－４－２４,,202922,40,40221,水城３,,2021/12/06,2021/12/06,,2027/12/31,,萩原　隼人 ,,,,,,,,,,,飲食店営業,  めん類,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,水城らあ麺092-921-015820292240221,3aded69f-8f8b-421f-bc81-e57d56c98fd4,,personal,63d4800a-0c7d-4b92-8dfb-c061b5416fc2,2021/12/06,水城らあ麺,水城らあ麺,
石橋　玲子,,818-0115,福岡県,太宰府市内山３７６－１０,,092-921-2774  ,カレーとケーキの店　さら,① 飲食店営業,一般食堂,R08.12.31,R03.12.07,R03.12.07,,401,カレーとケーキの店　さら,092,092-921-2774,,,,福岡県　太宰府市内山３７６－１０,福岡県太宰府市内山３７６－１０,,202885,40,40221,内山,,2021/12/07,2021/12/07,,2026/12/31,,石橋　玲子 ,,,,,,,,,,,飲食店営業,  一般食堂,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,カレとケキの店さら092-921-277420288540221,05ba786e-e63b-451d-99d4-f896f580acbd,,personal,2d7a7dc9-b134-4912-b266-b1285eb4e336,2021/12/07,カレーとケーキの店　さら,カレとケキの店さら,
西谷　広美,,816-0952,福岡県,大野城市下大利３－２－２２,４番,,カフェ月と猫,喫茶店営業,軽食喫茶,R10.03.31,R03.12.09,R03.12.09,,401,カフェ月と猫,092,,,,,福岡県　大野城市下大利３－２－２２,福岡県大野城市下大利３－２－２２,４番,202604,40,40219,下大利３,,2021/12/09,2021/12/09,,2028/03/31,,西谷　広美 ,,,,,,,,,,,喫茶店営業,  軽食喫茶,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,カフェ月と猫20260440219,99588b88-698c-4a58-8cec-dde0dee46643,,personal,43f61c68-63df-4520-9151-a16909734cb6,2021/12/09,カフェ月と猫,カフェ月と猫,
株式会社大河,河原　慎治,818-0061,福岡県,筑紫野市紫１－２８－３,,092-924-6567  ,ＦＲＥＥ－ＭＥＮ　肥後丸乃屋,① 飲食店営業,ラーメン,R10.09.30,R03.12.10,R03.12.10,,401,ＦＲＥＥ－ＭＥＮ　肥後丸乃屋,092,092-924-6567,,,,福岡県　筑紫野市紫１－２８－３,福岡県筑紫野市紫１－２８－３,,202228,40,40217,紫１,,2021/12/10,2021/12/10,,2028/09/30,株式会社大河,河原　慎治,,,,,,,,,,,飲食店営業,  ラーメン,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＦＲＥＥＭＥＮ肥後丸乃屋092-924-656720222840217,40d7e8f1-1631-43b9-a90a-63843ac3443a,株式会社大河,b1f86b4d-ad3e-4199-9f0a-98bee9c3f9d2,8310572b-2a21-446a-8d60-532955ec064e,2021/12/10,ＦＲＥＥ－ＭＥＮ　肥後丸乃屋,ＦＲＥＥＭＥＮ肥後丸乃屋,株式会社大河
株式会社ウインズジャパンホールディングス,吉村　幸助,816-0849,福岡県,春日市星見ヶ丘５－２４８－１,Ｂ棟－１,092-586-6301  ,ドライブイン一幸舎　フォレストシティ春日店,① 飲食店営業,ラーメン,R11.06.30,R03.12.10,R03.12.10,,401,ドライブイン一幸舎　フォレストシティ春日店,092,092-586-6301,,,,福岡県　春日市星見ヶ丘５－２４８－１,福岡県春日市星見が丘５－２４８－１,Ｂ棟－１,202563,40,40218,星見が丘５,,2021/12/10,2021/12/10,,2029/06/30,株式会社ウインズジャパンホールディングス,吉村　幸助,,,,,,,,,,,飲食店営業,  ラーメン,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ドライブイン一幸舎フォレストシティ春日店092-586-630120256340218,0b307e0b-ae25-4d7d-8935-f82649833bcf,株式会社ウインズジャパンホールディングス,f937dc6e-e859-418e-a165-deebf9ab7933,350f3773-fd3f-4ccc-9668-9be4d2667f23,2021/12/10,ドライブイン一幸舎　フォレストシティ春日店,ドライブイン一幸舎フォレストシティ春日店,株式会社ウインズジャパンホールディングス
渡辺　恵子,,818-0084,福岡県,筑紫野市針摺西１－７－１１,蘇木ビル１Ｆ,              ,シネラリア,① 飲食店営業,居酒屋,R10.09.30,R03.12.10,R03.12.10,,401,シネラリア,092,,,,,福岡県　筑紫野市針摺西１－７－１１,福岡県筑紫野市針摺西１－７－１１,蘇木ビル１Ｆ,202313,40,40217,針摺西１,,2021/12/10,2021/12/10,,2028/09/30,,渡辺　恵子 ,,,,,,,,,,,飲食店営業,  居酒屋,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,シネラリア20231340217,fa16a6cb-65bd-4064-99b4-d0dda2b6456e,,personal,0ca8cad3-5ed2-4ffb-9f90-7096aaf11eaf,2021/12/10,シネラリア,シネラリア,
鬼木　大,,818-0125,福岡県,太宰府市五条２－３－５,小野ビル１０２,092-408-5320  ,ＬＩＮＥＣＯＦＦＥＥ,喫茶店営業,軽食喫茶,R09.12.31,R03.12.13,R03.12.13,,401,ＬＩＮＥＣＯＦＦＥＥ,092,092-408-5320,,,,福岡県　太宰府市五条２－３－５,福岡県太宰府市五条２－３－５,小野ビル１０２,202949,40,40221,五条２,,2021/12/13,2021/12/13,,2027/12/31,,鬼木　大 ,,,,,,,,,,,喫茶店営業,  軽食喫茶,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＬＩＮＥＣＯＦＦＥＥ092-408-532020294940221,762fe273-0acd-47b7-9cf4-3e376938666a,,personal,82300de7-6b79-4da4-92d7-990d91f0f62b,2021/12/13,ＬＩＮＥＣＯＦＦＥＥ,ＬＩＮＥＣＯＦＦＥＥ,
髙瀬　祐太,,816-0805,福岡県,春日市千歳町１－３４－１,ツインズ春日２０１,,キッピス,① 飲食店営業,スナック,R10.06.30,R03.12.14,R03.12.14,,401,キッピス,092,,,,,福岡県　春日市千歳町１－３４－１,福岡県春日市千歳町１－３４－１,ツインズ春日２０１,202372,40,40218,千歳町１,,2021/12/14,2021/12/14,,2028/06/30,,髙瀬　祐太 ,,,,,,,,,,,飲食店営業,  スナック,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,キッピス20237240218,4c99429a-c082-4de8-a7ce-9252744d4d30,,personal,ca2d2bcc-337a-4b5c-8d6c-6a26fb0d0ee9,2021/12/14,キッピス,キッピス,
井上　信吾,,818-0072,福岡県,筑紫野市二日市中央４－９－１８,,092-921-3088  ,すし処　井上,① 飲食店営業,すし,R09.09.30,R03.12.14,R03.12.14,,401,すし処　井上,092,092-921-3088,,,,福岡県　筑紫野市二日市中央４－９－１８,福岡県筑紫野市二日市中央４－９－１８,,202301,40,40217,二日市中央４,,2021/12/14,2021/12/14,,2027/09/30,,井上　信吾 ,,,,,,,,,,,飲食店営業,  すし,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,すし処井上092-921-308820230140217,e3122efe-b173-4451-9d00-6e1a4b8220a0,,personal,b0eeb1cc-e26b-4492-8f4a-39ce2118d583,2021/12/14,すし処　井上,すし処井上,
株式会社わかたけ,山口　大司,818-0138,福岡県,太宰府市吉松３－２０－１,,092-408-2595  ,若竹丸　太宰府店,① 飲食店営業,すし,R10.12.31,R03.12.16,R03.12.16,,401,若竹丸　太宰府店,092,092-408-2595,,,,福岡県　太宰府市吉松３－２０－１,福岡県太宰府市吉松３－２０－１,,202934,40,40221,吉松３,,2021/12/16,2021/12/16,,2028/12/31,株式会社わかたけ,山口　大司,,,,,,,,,,,飲食店営業,  すし,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,若竹丸太宰府店092-408-259520293440221,8dc7ebef-2cd2-44d8-92cb-6dde9b22c205,株式会社わかたけ,72fd0f61-9588-414c-9062-4297a9455702,1f0151dd-ac7b-461d-8603-ac9b7364c04c,2021/12/16,若竹丸　太宰府店,若竹丸太宰府店,株式会社わかたけ
ダイステック株式会社,江頭　勉,816-0912,福岡県,大野城市御笠川４－５－２,,092-404-0299  ,ロビンソン　スパイス,① 飲食店営業,一般食堂,R10.03.31,R03.12.16,R03.12.16,,401,ロビンソン　スパイス,092,092-404-0299,,,,福岡県　大野城市御笠川４－５－２,福岡県大野城市御笠川４－５－２,,202662,40,40219,御笠川４,,2021/12/16,2021/12/16,,2028/03/31,ダイステック株式会社,江頭　勉,,,,,,,,,,,飲食店営業,  一般食堂,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ロビンソンスパイス092-404-029920266240219,1aa7a14a-94e9-4bc4-9977-de6bcd2c5193,ダイステック株式会社,14a63dd7-283f-43a4-ba71-75dca815b3e0,3a8b6419-d6f4-4079-aff1-b3732accd4bb,2021/12/16,ロビンソン　スパイス,ロビンソンスパイス,ダイステック株式会社
株式会社　杉養蜂園,米田　弘一,818-0117,福岡県,太宰府市宰府２－７－２１,,092-924-7888  ,杉養蜂園　太宰府店,喫茶店営業,軽食喫茶,R10.12.31,R03.12.17,R03.12.17,,401,杉養蜂園　太宰府店,092,092-924-7888,,,,福岡県　太宰府市宰府２－７－２１,福岡県太宰府市宰府２－７－２１,,202972,40,40221,宰府２,,2021/12/17,2021/12/17,,2028/12/31,株式会社　杉養蜂園,米田　弘一,,,,,,,,,,,喫茶店営業,  軽食喫茶,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,杉養蜂園太宰府店092-924-788820297240221,e8769554-ead4-47a2-a7ce-6c60f730353e,株式会社杉養蜂園,738c1b78-cb2b-442e-80ac-0cc9638c2fb1,2f80a175-c378-4476-a4e2-42e15996be56,2021/12/17,杉養蜂園　太宰府店,杉養蜂園太宰府店,株式会社杉養蜂園
有限会社ビクトレージ,江口　義浩,818-0117,福岡県,太宰府市宰府２－７－１２,,092-918-2230  ,天山,喫茶店営業,軽食喫茶,R10.12.31,R03.12.17,R03.12.17,,401,天山,092,092-918-2230,,,,福岡県　太宰府市宰府２－７－１２,福岡県太宰府市宰府２－７－１２,,202972,40,40221,宰府２,,2021/12/17,2021/12/17,,2028/12/31,有限会社ビクトレージ,江口　義浩,,,,,,,,,,,喫茶店営業,  軽食喫茶,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,天山092-918-223020297240221,40d10092-d169-46b8-9c78-fe2343b2c780,有限会社ビクトレージ,945d8bee-9b2a-413f-80df-e17bcac73f81,24b3a542-ee6d-46da-89c7-d1bef6574103,2021/12/17,天山,天山,有限会社ビクトレージ
株式会社しょうき企画,渡邉　司,818-0134,福岡県,太宰府市大佐野２－１２－１,,092-923-4466  ,焼き鳥・もつ鍋しょうき太宰府店,① 飲食店営業,居酒屋,R10.12.31,R03.12.17,R03.12.17,,401,焼き鳥・もつ鍋しょうき太宰府店,092,092-923-4466,,,,福岡県　太宰府市大佐野２－１２－１,福岡県太宰府市大佐野２－１２－１,,202888,40,40221,大佐野２,,2021/12/17,2021/12/17,,2028/12/31,株式会社しょうき企画,渡邉　司,,,,,,,,,,,飲食店営業,  居酒屋,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,焼き鳥もつ鍋しょうき太宰府店092-923-446620288840221,f427f9d4-8d30-43bd-8c2e-9f081044d740,株式会社しょうき企画,ad65dd0f-191b-4249-8237-311e9ce47560,0cfb25a8-47a8-42d7-ae13-9b8b2ae7ea47,2021/12/17,焼き鳥・もつ鍋しょうき太宰府店,焼き鳥もつ鍋しょうき太宰府店,株式会社しょうき企画
株式会社ＳＯＵＮＤ　ＴＲＩＰ,島津　智明,816-0864,福岡県,春日市須玖北９－６２,,,博多　文福,① 飲食店営業,ラーメン,R10.06.30,R03.12.17,R03.12.17,,401,博多　文福,092,,,,,福岡県　春日市須玖北９－６２,福岡県春日市須玖北９－６２,,202507,40,40218,須玖北９,,2021/12/17,2021/12/17,,2028/06/30,株式会社ＳＯＵＮＤ　ＴＲＩＰ,島津　智明,,,,,,,,,,,飲食店営業,  ラーメン,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,博多文福20250740218,348fd1ee-0db8-4984-a636-ba855c1e38c4,株式会社ＳＯＵＮＤ　ＴＲＩＰ,29abd4c1-91a6-4d38-9bf3-0939cc540fa4,a705cef0-d9a9-40c8-8375-5f4afc4bad4c,2021/12/17,博多　文福,博多文福,株式会社ＳＯＵＮＤ　ＴＲＩＰ
株式会社大臣,内田　和民,818-0138,福岡県,太宰府市吉松３－１３－１,,092-922-3297  ,すし大臣太宰府店,① 飲食店営業,すし,R10.12.31,R03.12.17,R03.12.17,,401,すし大臣太宰府店,092,092-922-3297,,,,福岡県　太宰府市吉松３－１３－１,福岡県太宰府市吉松３－１３－１,,202934,40,40221,吉松３,,2021/12/17,2021/12/17,,2028/12/31,株式会社大臣,内田　和民,,,,,,,,,,,飲食店営業,  すし,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,すし大臣太宰府店092-922-329720293440221,00401_5d7fadb1-b036-4422-86f9-12ab2367c73d,株式会社大臣,4bdc5aee-d560-4778-8276-6c8bc9b1e3b2,a1be47a0-0d20-44e6-9571-d0a641d05518,2021/12/17,すし大臣太宰府店,すし大臣太宰府店,株式会社大臣
内場　幸子,,816-0807,福岡県,春日市宝町２－３０　,１０１号室,,くろねこキッチン,① 飲食店営業,その他,R10.06.30,R03.12.21,R03.12.21,,401,くろねこキッチン,092,,,,,福岡県　春日市宝町２－３０　,福岡県春日市宝町２－３０,１０１号室,202369,40,40218,宝町２,,2021/12/21,2021/12/21,,2028/06/30,,内場　幸子 ,,,,,,,,,,,飲食店営業,  その他,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,くろねこキッチン20236940218,9e9bef9b-9e36-4918-ba2b-2cf51bc3675d,,personal,b8eab3bb-25bc-42d4-b010-9771487b8969,2021/12/21,くろねこキッチン,くろねこキッチン,
石川　茉莉,,818-0072,福岡県,筑紫野市二日市中央６－３－１７,プレジール２階,              ,Ｇｉｒｌ’ｓ　Ｂａｒ　８,① 飲食店営業,バー,R10.09.30,R03.12.23,R03.12.23,,401,Ｇｉｒｌ’ｓ　Ｂａｒ　８,092,,,,,福岡県　筑紫野市二日市中央６－３－１７,福岡県筑紫野市二日市中央６－３－１７,プレジール２階,202303,40,40217,二日市中央６,,2021/12/23,2021/12/23,,2028/09/30,,石川　茉莉 ,,,,,,,,,,,飲食店営業,  バー,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＧｉｒｌｓＢａｒ８20230340217,7bb6d674-9f8a-4dea-ab66-58fbe216a291,,personal,85d08dd1-5914-4bf2-904a-8df851914373,2021/12/23,Ｇｉｒｌ＇ｓ　Ｂａｒ　８,ＧｉｒｌｓＢａｒ８,
森山　俊,,816-0851,福岡県,春日市昇町１－８７,,,ぐりこキッチン,① 飲食店営業,居酒屋,R10.06.30,R03.12.28,R03.12.28,,401,ぐりこキッチン,092,,,,,福岡県　春日市昇町１－８７,福岡県春日市昇町１－８７,,202516,40,40218,昇町１,,2021/12/28,2021/12/28,,2028/06/30,,森山　俊 ,,,,,,,,,,,飲食店営業,  居酒屋,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ぐりこキッチン20251640218,f5fdd965-ed46-48f8-83bc-848f274f39be,,personal,810ffdb1-cad5-42cd-895b-07cead9d1027,2021/12/28,ぐりこキッチン,ぐりこキッチン,
松田　義信,,816-0943,福岡県,大野城市白木原３－１－１,１０２,,自家焙煎珈琲屋『独り旅』,喫茶店営業,軽食喫茶,R09.03.31,R03.12.28,R03.12.28,,401,自家焙煎珈琲屋『独り旅』,092,,,,,福岡県　大野城市白木原３－１－１,福岡県大野城市白木原３－１－１,１０２,202609,40,40219,白木原３,,2021/12/28,2021/12/28,,2027/03/31,,松田　義信 ,,,,,,,,,,,喫茶店営業,  軽食喫茶,,,401_福岡県_筑紫保健福祉環境事務所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,自家焙煎珈琲屋独り旅20260940219,f09c757e-7af9-4055-bd2b-20c94f304b6b,,personal,891f3acb-d2ad-4464-89e1-a551c0631256,2021/12/28,自家焙煎珈琲屋『独り旅』,自家焙煎珈琲屋独り旅,