https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋　　号,,営業所所在地,,,"営業所
電話番号",業　　種,,"営業者名
(申請者氏名)","営業者名
(法人の代表者氏名)","営業者
住所(所在地)",,,"営業者
電話番号","初回の
許可年月日","最新の
許可年月日","新規か
継続か",許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
濱木,石川県,輪島市輪島崎町１－７８－２５６,輪島市輪島崎町１－７８,２５６,,水産製品製造業,,濱木　悦子,,,,,,2021.9.2,2021.9.2,新規,第65210105号,,220,濱木,0768,,,,,石川県　輪島市輪島崎町１－７８,石川県輪島市輪島崎町１－７８,２５６,95592,17,17204,輪島崎町,,2021/09/02,2021/09/02,,,,濱木　悦子 ,,,,,,,,,第65210105号,新規,水産製品製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,92,,濱木9559217204,bb4702f5-1bfb-42b7-aa8a-f4269fd12803,,personal,7e296409-e046-43cf-886e-2a191c98f1f4,2021/09/02,濱木,濱木,
池澄丸,石川県,輪島市鳳至町鳳至丁１２２－４６,輪島市鳳至町鳳至丁１２２－４６,,,水産製品製造業,,池澄　一美,,,,,,2021.9.2,2021.9.2,新規,第65210106号,,220,池澄丸,0768,,,,,石川県　輪島市鳳至町鳳至丁１２２－４６,石川県輪島市鳳至町鳳至丁１２２－４６,,95601,17,17204,鳳至町鳳至丁,,2021/09/02,2021/09/02,,,,池澄　一美 ,,,,,,,,,第65210106号,新規,水産製品製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,92,,池澄丸9560117204,9ef21949-2d77-4003-93e1-a2828a43a306,,personal,5e20df22-9298-4275-8a86-127d2100bd49,2021/09/02,池澄丸,池澄丸,
水口　美子,石川県,輪島市大野町糸作５番地,輪島市大野町糸作５番地,,,漬物製造業,,水口　美子,,,,,,2021.9.2,2021.9.2,新規,第65210107号,,220,水口　美子,0768,,,,,石川県　輪島市大野町糸作５番地,石川県輪島市大野町糸作５番地,,95498,17,17204,大野町,,2021/09/02,2021/09/02,,,,水口　美子 ,,,,,,,,,第65210107号,新規,漬物製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,,,水口美子9549817204,9864e969-82aa-4ff5-b62d-0cc19950176c,,personal,5a345df1-73bd-484f-8e66-2b5b2bce7be8,2021/09/02,水口　美子,水口美子,
冨水海産物,石川県,輪島市鳳至町下町１６３,輪島市鳳至町下町１６３,,,水産製品製造業,,冨水　和美,,,,,,2021.9.7,2021.9.7,新規,第65210108号,,220,冨水海産物,0768,,,,,石川県　輪島市鳳至町下町１６３,石川県輪島市鳳至町下町１６３,,95598,17,17204,鳳至町下町,,2021/09/07,2021/09/07,,,,冨水　和美 ,,,,,,,,,第65210108号,新規,水産製品製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,92,,冨水海産物9559817204,2ec78bbd-7086-4818-aa2d-8ecbe16759d8,,personal,e63166ac-cac2-4d4e-9b20-335e1ba4c0db,2021/09/07,冨水海産物,冨水海産物,
夢一輪館,石川県,鳳珠郡能登町字当目２８－１,鳳珠郡能登町字当目２８－１,,0768-76-1552,漬物製造業,,有限会社能登ワイン夢一輪館,高市　範幸,鳳珠郡能登町字当目２８－１,石川県鳳珠郡能登町字当目２８－１,,0768-76-1552,2021.9.9,2021.9.9,新規,第65210109号,,220,夢一輪館,0768,0768-76-1552,,,,石川県　鳳珠郡能登町字当目２８－１,石川県鳳珠郡能登町当目２８－１,,701397,17,17463,当目,,2021/09/09,2021/09/09,,,有限会社能登ワイン夢一輪館,高市　範幸,0768-76-1552,石川県鳳珠郡能登町字当目２８－１,石川県鳳珠郡能登町当目２８－１,,701397,石川県,鳳珠郡能登町,当目,第65210109号,新規,漬物製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,,,夢一輪館0768-76-155270139717463,34aea247-7771-45a9-b255-2f1fbb9a54cc,有限会社能登ワイン夢一輪館701397,6b22e311-39cf-43d3-a687-c3ac6ea51647,557ca61e-204c-46bf-9deb-8cc17b42e02a,2021/09/09,夢一輪館,夢一輪館,有限会社能登ワイン夢一輪館
朝市共同作業場,石川県,輪島市河井町１部１３８番地１,輪島市河井町１部１３８番地１,,,水産製品製造業,,冨水　長毅,,,,,,2021.9.15,2021.9.15,新規,第65210110号,,220,朝市共同作業場,0768,,,,,石川県　輪島市河井町１部１３８番地１,石川県輪島市河井町１部１３８番地１,,95504,17,17204,河井町,,2021/09/15,2021/09/15,,,,冨水　長毅 ,,,,,,,,,第65210110号,新規,水産製品製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,92,,朝市共同作業場9550417204,3d3efd92-87e0-479d-b9e4-95dab08afd31,,personal,a9587b66-2eab-4dc4-98d4-07b989545e4a,2021/09/15,朝市共同作業場,朝市共同作業場,
坂角鮮魚店,石川県,輪島市輪島崎町１－７８－２４６,輪島市輪島崎町１－７８,２４６,,水産製品製造業,,坂角　春枝,,,,,,2021.9.24,2021.9.24,新規,第65210111号,,220,坂角鮮魚店,0768,,,,,石川県　輪島市輪島崎町１－７８,石川県輪島市輪島崎町１－７８,２４６,95592,17,17204,輪島崎町,,2021/09/24,2021/09/24,,,,坂角　春枝 ,,,,,,,,,第65210111号,新規,水産製品製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,92,,坂角鮮魚店9559217204,3c06ce3c-6dfc-4eab-861d-404bed86730c,,personal,94e7befd-6f94-4383-a4b3-987a58609521,2021/09/24,坂角鮮魚店,坂角鮮魚店,
西中農園,石川県,鳳珠郡能登町松波２９－６２－９,鳳珠郡能登町松波２９－６２－９,,,そうざい製造業,,西中　宏美,,,,,,2021.9.24,2021.9.24,新規,第65210112号,,220,西中農園,0768,,,,,石川県　鳳珠郡能登町松波２９－６２－９,石川県鳳珠郡能登町松波２９－６２－９,,701396,17,17463,松波,,2021/09/24,2021/09/24,,,,西中　宏美 ,,,,,,,,,第65210112号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,,,西中農園70139617463,c2d678bb-f9ca-4e86-b2c8-b35f65490d32,,personal,bc358600-e759-4117-b888-8d74b51496df,2021/09/24,西中農園,西中農園,
西中農園,石川県,鳳珠郡能登町松波２９－６２－９,鳳珠郡能登町松波２９－６２－９,,,漬物製造業,,西中　宏美,,,,,,2021.9.24,2021.9.24,新規,第65210113号,,220,西中農園,0768,,,,,石川県　鳳珠郡能登町松波２９－６２－９,石川県鳳珠郡能登町松波２９－６２－９,,701396,17,17463,松波,,2021/09/24,2021/09/24,,,,西中　宏美 ,,,,,,,,,第65210113号,新規,漬物製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,,,西中農園70139617463,c2d678bb-f9ca-4e86-b2c8-b35f65490d32,,personal,d0337deb-9235-44ea-ac81-79ec567896dd,2021/09/24,西中農園,西中農園,
かなえFOODS,石川県,鳳珠郡能登町藤波１９－１０８,鳳珠郡能登町藤波１９－１０８,,0768-62-3366,菓子製造業,,株式会社鼎建設,代表取締役　小間　望,鳳珠郡能登町藤波１９-１０８,石川県鳳珠郡能登町藤波１９－１０８,,0768-62-3366,2021.9.27,2021.9.27,新規,第65210114号,,220,かなえFOODS,0768,0768-62-3366,,,,石川県　鳳珠郡能登町藤波１９－１０８,石川県鳳珠郡能登町藤波１９－１０８,,701283,17,17463,藤波,,2021/09/27,2021/09/27,,,株式会社鼎建設,代表取締役　小間　望,0768-62-3366,石川県鳳珠郡能登町藤波１９－１０８,石川県鳳珠郡能登町藤波１９－１０８,,701283,石川県,鳳珠郡能登町,藤波,第65210114号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,,,かなえＦＯＯＤＳ0768-62-336670128317463,beef5fc5-1bdc-4504-9870-23ef7cff6124,株式会社鼎建設701283,2aa870d2-3ed3-4975-9b4f-ecee9db15dc2,d970388a-f9ff-4390-aae8-999b951cb5a9,2021/09/27,かなえＦＯＯＤＳ,かなえＦＯＯＤＳ,株式会社鼎建設
砂走　富子,石川県,輪島市久手川町花山６１,輪島市久手川町花山６１,,,漬物製造業,,砂走　富子,,,,,,2021.9.27,2021.9.27,新規,第65210115号,,220,砂走　富子,0768,,,,,石川県　輪島市久手川町花山６１,石川県輪島市久手川町花山６１,,95541,17,17204,久手川町,,2021/09/27,2021/09/27,,,,砂走　富子 ,,,,,,,,,第65210115号,新規,漬物製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,,,砂走富子9554117204,2d78e9c5-6a24-4aef-a173-4aa1c5942a36,,personal,dcf63c96-4830-4b4c-9c3f-a8de3d44a42a,2021/09/27,砂走　富子,砂走富子,
なおみ食品,石川県,輪島市門前町道下１－１８０－４,輪島市門前町道下１－１８０－４,,,漬物製造業,,田谷　敏夫,,,,,,2021.9.28,2021.9.28,新規,第65210116号,,220,なおみ食品,0768,,,,,石川県　輪島市門前町道下１－１８０－４,石川県輪島市門前町道下１－１８０－４,,95669,17,17204,門前町道下,,2021/09/28,2021/09/28,,,,田谷　敏夫 ,,,,,,,,,第65210116号,新規,漬物製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,,,なおみ食品9566917204,a6bc3f3a-a091-4cba-b970-f37954815cf0,,personal,3dff12ab-6fd9-4e09-96d4-3f3dd2c647ca,2021/09/28,なおみ食品,なおみ食品,
北川製餡所,石川県,輪島市河井町１５部９０番地の２５,輪島市河井町１５部９０番地の２５,,0768-22-0658,菓子製造業,,平澤　和則,,,,,,2021.10.1,2021.10.1,新規,第65210117号,,220,北川製餡所,0768,0768-22-0658,,,,石川県　輪島市河井町１５部９０番地の２５,石川県輪島市河井町１５部９０番地ノ２５,,95504,17,17204,河井町,,2021/10/01,2021/10/01,,,,平澤　和則 ,,,,,,,,,第65210117号,新規,菓子製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,,,北川製餡所0768-22-06589550417204,58877486-bdf3-44dc-bdbe-494bdc2b1d58,,personal,82908bb8-35cc-4723-8c33-380c1d05e5bb,2021/10/01,北川製餡所,北川製餡所,
焼肉韓国料理　栄幸園,石川県,輪島市河井町３部７９番地１,輪島市河井町３部７９番地１,,0768-22-1250,飲食店営業,,晋川　幸雄,,,,,,2021.10.1,2021.10.1,新規,第65210118号,,220,焼肉韓国料理　栄幸園,0768,0768-22-1250,,,,石川県　輪島市河井町３部７９番地１,石川県輪島市河井町３部７９番地１,,95504,17,17204,河井町,,2021/10/01,2021/10/01,,,,晋川　幸雄 ,,,,,,,,,第65210118号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,焼肉韓国料理栄幸園0768-22-12509550417204,b57b2439-9611-4614-9402-aca5cf01319f,,personal,a2fc8d3d-cbef-4a24-b380-971ecece309a,2021/10/01,焼肉韓国料理　栄幸園,焼肉韓国料理栄幸園,
信春,石川県,輪島市町野町広江７部１７番地１,輪島市町野町広江７部１７番地１,,0768-32-0627,飲食店営業,,神谷　茂明,,,,,,2021.10.1,2021.10.1,新規,第65210119号,,220,信春,0768,0768-32-0627,,,,石川県　輪島市町野町広江７部１７番地１,石川県輪島市町野町広江７部１７番地１,,95564,17,17204,町野町広江,,2021/10/01,2021/10/01,,,,神谷　茂明 ,,,,,,,,,第65210119号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,信春0768-32-06279556417204,273db118-a4ca-49e9-8594-dab4ffabd3ed,,personal,1039776b-2145-45c1-86bf-6ff2c67a5b72,2021/10/01,信春,信春,
公立穴水総合病院,石川県,鳳珠郡穴水町川島ター８,鳳珠郡穴水町川島ター８,,0768-52-0511,飲食店営業,,日清医療食品株式会社,代表取締役　菅井　正一,東京都千代田区丸の内２－７－３　東京ビルディング２０階,東京都千代田区丸の内２－７－３, 東京ビルディング２０階,03-3287-3611,2021.10.1,2021.10.1,新規,第65210120号,,220,公立穴水総合病院,0768,0768-52-0511,,,,石川県　鳳珠郡穴水町川島ター８,石川県鳳珠郡穴水町川島タ－８,,701395,17,17461,川島,,2021/10/01,2021/10/01,,,日清医療食品株式会社,代表取締役　菅井　正一,03-3287-3611,東京都千代田区丸の内２－７－３,東京都千代田区丸ノ内２－７－３, 東京ビルディング２０階,72931,東京都,千代田区,丸の内２,第65210120号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,公立穴水総合病院0768-52-051170139517461,500863d2-7b34-4d6b-8e93-40c3763ebb6d,日清医療食品株式会社72931,caed14bb-a0f4-4953-b6b1-63211d3b8f27,b7c9abb1-e707-4db5-a982-bf423d065f44,2021/10/01,公立穴水総合病院,公立穴水総合病院,日清医療食品株式会社
株式会社したひら,石川県,鳳珠郡能登町宇出津ト字５－１－４,鳳珠郡能登町宇出津ト字５－１－４,,0768-62-0078,そうざい製造業,,株式会社したひら,下平　勝則,鳳珠郡能登町宇出津ト字５－１－４,石川県鳳珠郡能登町宇出津ト字５－１－４,,0768-62-0078,2021.10.1,2021.10.1,新規,第65210121号,,220,株式会社したひら,0768,0768-62-0078,,,,石川県　鳳珠郡能登町宇出津ト字５－１－４,石川県鳳珠郡能登町宇出津ト字５－１－４,,701389,17,17463,宇出津,,2021/10/01,2021/10/01,,,株式会社したひら,下平　勝則,0768-62-0078,石川県鳳珠郡能登町宇出津ト字５－１－４,石川県鳳珠郡能登町宇出津ト字５－１－４,,701389,石川県,鳳珠郡能登町,宇出津,第65210121号,新規,そうざい製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,,,株式会社したひら0768-62-007870138917463,820b1880-5bc8-478a-a8c6-a6954b4a5697,株式会社したひら701389,493ab224-1372-4783-9165-140cf08accf2,ce1868d5-19fd-44d6-a921-0b0c601f9a1c,2021/10/01,株式会社したひら,株式会社したひら,株式会社したひら
有限会社又蔵,石川県,鳳珠郡能登町宇出津ヘ２１７－１６,鳳珠郡能登町宇出津ヘ２１７－１６,,0768-62-0312,水産製品製造業,,有限会社又蔵,寺下　正信,鳳珠郡能登町宇出津ヘ２１７－１６,石川県鳳珠郡能登町宇出津ヘ２１７－１６,,0768-62-0312,2021.10.1,2021.10.1,新規,第65210122号,,220,有限会社又蔵,0768,0768-62-0312,,,,石川県　鳳珠郡能登町宇出津ヘ２１７－１６,石川県鳳珠郡能登町宇出津ヘ２１７－１６,,701389,17,17463,宇出津,,2021/10/01,2021/10/01,,,有限会社又蔵,寺下　正信,0768-62-0312,石川県鳳珠郡能登町宇出津ヘ２１７－１６,石川県鳳珠郡能登町宇出津ヘ２１７－１６,,701389,石川県,鳳珠郡能登町,宇出津,第65210122号,新規,水産製品製造業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,E,9,92,,有限会社又蔵0768-62-031270138917463,f0cdad20-b438-4bfb-b3a6-b96af559a4d8,有限会社又蔵701389,ddd10571-ae77-4771-aacb-3aca821a7975,5ce16641-cbdb-4a6d-96d2-b0e699d881c0,2021/10/01,有限会社又蔵,有限会社又蔵,有限会社又蔵
紅寿し,石川県,鳳珠郡能登町宇出津損１－１９４－２,鳳珠郡能登町宇出津損１－１９４－２,,0768-62-4150,飲食店営業,,紅屋　國男,,,,,,2021.10.1,2021.10.1,新規,第65210123号,,220,紅寿し,0768,0768-62-4150,,,,石川県　鳳珠郡能登町宇出津損１－１９４－２,石川県鳳珠郡能登町宇出津損１－１９４－２,,701389,17,17463,宇出津,,2021/10/01,2021/10/01,,,,紅屋　國男 ,,,,,,,,,第65210123号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,紅寿し0768-62-415070138917463,67013544-8807-490b-95ab-8daac9d1e22d,,personal,cc05e4e8-081c-4301-93cf-5c1a8545e1e8,2021/10/01,紅寿し,紅寿し,
山中精肉店,石川県,鳳珠郡能登町宇出津新７,鳳珠郡能登町宇出津新７,,0768-62-0214,飲食店営業,,山中　利明,,,,,,2021.10.1,2021.10.1,新規,第65210124号,,220,山中精肉店,0768,0768-62-0214,,,,石川県　鳳珠郡能登町宇出津新７,石川県鳳珠郡能登町宇出津新７,,701389,17,17463,宇出津,,2021/10/01,2021/10/01,,,,山中　利明 ,,,,,,,,,第65210124号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,山中精肉店0768-62-021470138917463,f152c943-1c00-4704-85ce-d582e42bb7d3,,personal,eef259f4-005a-4027-b6ce-f187ce3bf7ea,2021/10/01,山中精肉店,山中精肉店,
山中精肉店,石川県,鳳珠郡能登町宇出津新７,鳳珠郡能登町宇出津新７,,0768-62-0214,食肉販売業,,山中　利明,,,,,,2021.10.1,2021.10.1,新規,第65210125号,,220,山中精肉店,0768,0768-62-0214,,,,石川県　鳳珠郡能登町宇出津新７,石川県鳳珠郡能登町宇出津新７,,701389,17,17463,宇出津,,2021/10/01,2021/10/01,,,,山中　利明 ,,,,,,,,,第65210125号,新規,食肉販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,I,58,583,,山中精肉店0768-62-021470138917463,f152c943-1c00-4704-85ce-d582e42bb7d3,,personal,d0c9da9a-f6f3-496c-a637-21a16db56140,2021/10/01,山中精肉店,山中精肉店,
農家民宿　かや,石川県,鳳珠郡能登町鮭尾６－３３,鳳珠郡能登町鮭尾６－３３,,,飲食店営業,,山本　順子,,,,,,2021.10.1,2021.10.1,新規,第65210126号,,220,農家民宿　かや,0768,,,,,石川県　鳳珠郡能登町鮭尾６－３３,石川県鳳珠郡能登町鮭尾６－３３,,701398,17,17463,鮭尾,,2021/10/01,2021/10/01,,,,山本　順子 ,,,,,,,,,第65210126号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,農家民宿かや70139817463,d4d15611-ded3-4174-9a2a-e75c56576c25,,personal,68796ac0-30e1-4138-8d3a-8d89ce05ce16,2021/10/01,農家民宿　かや,農家民宿かや,
夢一輪館,石川県,鳳珠郡能登町字当目２８－１,鳳珠郡能登町字当目２８－１,,0768-76-1552,飲食店営業,,有限会社能登ワイン夢一輪館,高市　範幸,鳳珠郡能登町字当目２８－１,石川県鳳珠郡能登町字当目２８－１,,0768-76-1552,2021.10.1,2021.10.1,新規,第65210127号,,220,夢一輪館,0768,0768-76-1552,,,,石川県　鳳珠郡能登町字当目２８－１,石川県鳳珠郡能登町当目２８－１,,701397,17,17463,当目,,2021/10/01,2021/10/01,,,有限会社能登ワイン夢一輪館,高市　範幸,0768-76-1552,石川県鳳珠郡能登町字当目２８－１,石川県鳳珠郡能登町当目２８－１,,701397,石川県,鳳珠郡能登町,当目,第65210127号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,夢一輪館0768-76-155270139717463,34aea247-7771-45a9-b255-2f1fbb9a54cc,有限会社能登ワイン夢一輪館701397,6b22e311-39cf-43d3-a687-c3ac6ea51647,c3f1fbd6-8c63-4ebd-b0cf-76fbace54b3d,2021/10/01,夢一輪館,夢一輪館,有限会社能登ワイン夢一輪館
レストラン大樹,石川県,鳳珠郡能登町布浦タ７１－１,鳳珠郡能登町布浦タ７１－１,,0768-72-0897,飲食店営業,,奥成　孝,,,,,,2021.10.1,2021.10.1,新規,第65210128号,,220,レストラン大樹,0768,0768-72-0897,,,,石川県　鳳珠郡能登町布浦タ７１－１,石川県鳳珠郡能登町布浦タ７１－１,,700992,17,17463,布浦,,2021/10/01,2021/10/01,,,,奥成　孝 ,,,,,,,,,第65210128号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,レストラン大樹0768-72-089770099217463,662f1565-81fc-446a-badd-0903ec66889c,,personal,8a233307-9bc4-4dab-9900-3d4e48c715e2,2021/10/01,レストラン大樹,レストラン大樹,
現代集落真浦交流拠点,石川県,珠洲市真浦町ル部１２番４,珠洲市真浦町ル部１２番４,,076-205-8092,飲食店営業,,株式会社こみんぐる,代表取締役　林　佳奈,金沢市小橋町２－１７,石川県金沢市小橋町２－１７,,076-205-8092,2021.9.3,2021.9.3,新規,第65215023号,,220,現代集落真浦交流拠点,0768,076-205-8092,,,,石川県　珠洲市真浦町ル部１２番４,石川県珠洲市真浦町ル部１２番４,,95753,17,17205,真浦町,,2021/09/03,2021/09/03,,,株式会社こみんぐる,代表取締役　林　佳奈,076-205-8092,石川県金沢市小橋町２－１７,石川県金沢市小橋町２－１７,,94307,石川県,金沢市,小橋町,第65215023号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,現代集落真浦交流拠点076-205-80929575317205,c117cc6d-42ab-4680-961c-69bb240830a0,株式会社こみんぐる94307,e445a833-26f3-4be3-8525-5344cae5f79d,449e8648-8c33-4bf7-9903-374438c65a81,2021/09/03,現代集落真浦交流拠点,現代集落真浦交流拠点,株式会社こみんぐる
舟あそび,石川県,珠洲市若山町出田４１－２,珠洲市若山町出田４１－２,,0768-82-3960,飲食店営業,,舟見　有加,,,,,,2021.10.1,2021.10.1,新規,第65215030号,,220,舟あそび,0768,0768-82-3960,,,,石川県　珠洲市若山町出田４１－２,石川県珠洲市若山町出田４１－２,,95778,17,17205,若山町出田,,2021/10/01,2021/10/01,,,,舟見　有加 ,,,,,,,,,第65215030号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,舟あそび0768-82-39609577817205,101294b4-99e2-49a2-bfcd-5686a3a70954,,personal,2480e92e-6e75-4f5d-938d-7a6ef1d1380b,2021/10/01,舟あそび,舟あそび,
石川県漁業協同組合　すず支所,石川県,珠洲市蛸島町ネ部６２番地,珠洲市蛸島町ネ部６２番地,,0768-82-1241,魚介類販売業,,石川県漁業協同組合,代表理事組合長　笹原　丈光,金沢市北安江三丁目１番３８号,石川県金沢市北安江３丁目１番３８号,,076-234-8815,2021.10.1,2021.10.1,新規,第65215031号,,220,石川県漁業協同組合　すず支所,0768,0768-82-1241,,,,石川県　珠洲市蛸島町ネ部６２番地,石川県珠洲市蛸島町ネ部６２番地,,95736,17,17205,蛸島町,,2021/10/01,2021/10/01,,,石川県漁業協同組合,代表理事組合長　笹原　丈光,076-234-8815,石川県金沢市北安江３丁目１番３８号,石川県金沢市北安江３丁目１番３８号,,94843,石川県,金沢市,北安江３,第65215031号,新規,魚介類販売業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,I,58,,,石川県漁業協同組合すず支所0768-82-12419573617205,00afcbeb-dde6-4a65-9bab-5adde63b82a9,石川県漁業協同組合94843,b963af9e-2659-4c96-a47f-2405487b6dc2,18651f36-7753-4760-b9c0-df5682822102,2021/10/01,石川県漁業協同組合　すず支所,石川県漁業協同組合すず支所,石川県漁業協同組合
浜寿し,石川県,珠洲市飯田町１４部１９番地,珠洲市飯田町１４部１９番地,,0768-82-4178,飲食店営業,,濱野　昭勝,,,,,,2021.10.1,2021.10.1,新規,第65215032号,,220,浜寿し,0768,0768-82-4178,,,,石川県　珠洲市飯田町１４部１９番地,石川県珠洲市飯田町１４部１９番地,,95715,17,17205,飯田町,,2021/10/01,2021/10/01,,,,濱野　昭勝 ,,,,,,,,,第65215032号,新規,飲食店営業,,,,217-220_石川県_石川県一括_食品衛生(許可)_2021年09月-2022年01月_末日_新規、廃止‗能登北部,M,76,,,浜寿し0768-82-41789571517205,5850a8f3-a7f2-40f9-b472-1e33e45c9d9a,,personal,30e646f2-d6cf-4b0c-9ec4-557b1f7f9f8c,2021/10/01,浜寿し,浜寿し,