,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所0,施設-住所1,施設-住所2,施設-電話番号1,施設名,申請者1,申請-住所1,申請-電話番号1,,確認番号,許可年月日,許可期間開始日,許可期間終了日,開業年月日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業種目,営業所名,営業所所在地,,,営業所電話番号,営業者名,代表者,営業者所在地,営業者電話番号,仮設区分,許可番号,許可年月日,許可開始日,許可期限,当初許可日,新規／継続の別,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人,チェーン店名,重複確認,店舗業種(大),店舗業種(中),店舗業種(小),店舗業種(詳細),施設名のフリガナ
飲食店営業（一般）,中華料理　長城,前橋市大手町2-8-5,前橋市大手町２－８－５,,027-210-6480,郭　長城,,,,,303,R04/07/01,R04/07/01,R10/06/30,R04/07/01,新規,,前橋市保健所,郭　長城,027,027-210-6480,,,,前橋市大手町２－８－５　,群馬県前橋市大手町２－８－５,,59805,群馬県,前橋市,大手町２,,2022/07/01,2022/07/01,2022/07/01,2028/06/30,,,,,,,,,,,303,新規,飲食店営業,一般,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,郭　長城,郭長城,,,1,,,,,
飲食店営業（弁当）,えがお,前橋市千代田町4-7-3前橋ｽｽﾞﾗﾝ地下,前橋市千代田町４－７－３,前橋ｽｽﾞﾗﾝ地下,027-233-1111,株式会社マルミフーズ,加藤　一郎,伊勢崎市西久保町2-586-3,伊勢崎市西久保町２－５８６－３,,304,R04/07/01,R04/07/01,R10/09/30,R04/07/01,新規,,前橋市保健所,株式会社マルミフーズ,027,027-233-1111,,,,前橋市千代田町４－７－３　前橋ｽｽﾞﾗﾝ地下,群馬県前橋市千代田町４－７－３前橋ｽｽﾞﾗﾝ地下,,59906,群馬県,前橋市,千代田町４,,2022/07/01,2022/07/01,2022/07/01,2028/09/30,,加藤　一郎,伊勢崎市西久保町２－５８６－３,伊勢崎市西久保町2-586-3,群馬県伊勢崎市西久保町２－５８６－３,,60540,群馬県,伊勢崎市,西久保町２,304,新規,飲食店営業,弁当,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社マルミフーズ,株式会社マルミフズ,,,1,,,,,
飲食店営業（自動車営業）,Ｋｉｎｇｐｉｎ　Ｃａｆｅ,前橋市元総社町823(前橋市内一円),前橋市元総社町８２３,,027-888-6629,養田　祐紀,,,,,305,R04/07/04,R04/07/04,R10/06/30,R04/07/04,新規,,前橋市保健所,養田　祐紀,027,027-888-6629,,,,前橋市元総社町８２３　,群馬県前橋市元総社町８２３,,59973,群馬県,前橋市,元総社町,,2022/07/04,2022/07/04,2022/07/04,2028/06/30,,,,,,,,,,,305,新規,飲食店営業,自動車営業,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,養田　祐紀,養田祐紀,,,1,,,,,
飲食店営業（仮設）,蛸一,前橋市敷島町66,前橋市敷島町６６,,027-288-0245,田代　祐一,,,,,306,R04/07/05,R04/07/13,R04/10/23,R04/07/05,新規,,前橋市保健所,田代　祐一,027,027-288-0245,,,,前橋市敷島町６６　,群馬県前橋市敷島町６６,,59861,群馬県,前橋市,敷島町,,2022/07/05,2022/07/05,2022/07/13,2022/10/23,,,,,,,,,,,306,新規,飲食店営業,仮設,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,田代　祐一,田代祐一,,,1,,,,,
飲食店営業（ｶﾌｪ･ﾊﾞｰ･ｷｬﾊﾞﾚｰ）,ＡＲＣＳ,前橋市千代田町5-7-2ｵﾘｴﾝﾄ前橋ﾋﾞﾙ401,前橋市千代田町５－７－２,ｵﾘｴﾝﾄ前橋ﾋﾞﾙ４０１,,黒坂　浩太,,,,,307,R04/07/06,R04/07/06,R10/09/30,R04/07/06,新規,,前橋市保健所,黒坂　浩太,027,,,,,前橋市千代田町５－７－２　ｵﾘｴﾝﾄ前橋ﾋﾞﾙ４０１,群馬県前橋市千代田町５－７－２ｵﾘｴﾝﾄ前橋ﾋﾞﾙ４０１,,59907,群馬県,前橋市,千代田町５,,2022/07/06,2022/07/06,2022/07/06,2028/09/30,,,,,,,,,,,307,新規,飲食店営業,カフェ・バー・キャバレー,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,黒坂　浩太,黒坂浩太,,,1,,,,,
飲食店営業（弁当）,Ｌｕｃｋｙのお弁当,前橋市北代田町484-8,前橋市北代田町４８４－８,,,吉田　利弘,,,,,308,R04/07/06,R04/07/06,R10/09/30,R04/07/06,新規,,前橋市保健所,吉田　利弘,027,,,,,前橋市北代田町４８４－８　,群馬県前橋市北代田町４８４－８,,59840,群馬県,前橋市,北代田町,,2022/07/06,2022/07/06,2022/07/06,2028/09/30,,,,,,,,,,,308,新規,飲食店営業,弁当,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,吉田　利弘,吉田利弘,,,1,,,,,
飲食店営業（スナック）,ＶＯＣＡＬＩＳＴ,前橋市城東町4-2-12,前橋市城東町４－２－１２,,,茂木メリージェーン,,,,,309,R04/07/06,R04/07/06,R10/12/31,R04/07/06,新規,,前橋市保健所,茂木メリージェーン,027,,,,,前橋市城東町４－２－１２　,群馬県前橋市城東町４－２－１２,,59883,群馬県,前橋市,城東町４,,2022/07/06,2022/07/06,2022/07/06,2028/12/31,,,,,,,,,,,309,新規,飲食店営業,スナック,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,茂木メリージェーン,茂木メリジェン,,,1,,,,,
飲食店営業（すし）,鮨いわまる,前橋市千代田町5-3-5,前橋市千代田町５－３－５,,027-234-5213,岩丸　亨,,,,,310,R04/07/06,R04/07/06,R10/09/30,R04/07/06,新規,,前橋市保健所,岩丸　亨,027,027-234-5213,,,,前橋市千代田町５－３－５　,群馬県前橋市千代田町５－３－５,,59907,群馬県,前橋市,千代田町５,,2022/07/06,2022/07/06,2022/07/06,2028/09/30,,,,,,,,,,,310,新規,飲食店営業,すし,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,岩丸　亨,岩丸亨,,,1,,,,,
飲食店営業（仕出し）,ＴＡＮＯＭＥＬ,前橋市千代田町3-9-13呑竜仲店協同組合店舗B-6,前橋市千代田町３－９－１３,呑竜仲店協同組合店舗B－６,,冨士イズム株式会社,冨士　和樹,前橋市城東町5-3-14-1F,前橋市城東町５－３－１４,１F,311,R04/07/06,R04/07/06,R10/09/30,R04/07/06,新規,,前橋市保健所,冨士イズム株式会社,027,,,,,前橋市千代田町３－９－１３　呑竜仲店協同組合店舗B－６,群馬県前橋市千代田町３－９－１３呑竜仲店協同組合店舗B－６,,59905,群馬県,前橋市,千代田町３,,2022/07/06,2022/07/06,2022/07/06,2028/09/30,,冨士　和樹,前橋市城東町５－３－１４,前橋市城東町5-3-14-1F,群馬県前橋市城東町５－３－１４－１F,,59884,群馬県,前橋市,城東町５,311,新規,飲食店営業,仕出し,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,冨士イズム株式会社,冨士イズム株式会社,,,1,,,,,
飲食店営業（弁当）,株式会社大合アピタ前橋店,前橋市文京町2-1-1ｱﾋﾟﾀ前橋店内,前橋市文京町２－１－１,ｱﾋﾟﾀ前橋店内,027-243-1231,株式会社大合,横井　佑典,東京都豊島区東池袋1-17-11ﾊﾟｰｸﾊｲﾂ池袋1105,東京都豊島区東池袋１－１７－１１ﾊﾟｰｸﾊｲﾂ池袋１１０５,,313,R04/07/06,R04/07/06,R11/03/31,R04/07/06,新規,,前橋市保健所,株式会社大合,027,027-243-1231,,,,前橋市文京町２－１－１　ｱﾋﾟﾀ前橋店内,群馬県前橋市文京町２－１－１ｱﾋﾟﾀ前橋店内,,59949,群馬県,前橋市,文京町２,,2022/07/06,2022/07/06,2022/07/06,2029/03/31,,横井　佑典,東京都豊島区東池袋１－１７－１１ﾊﾟｰｸﾊｲﾂ池袋１１０５,東京都豊島区東池袋1-17-11ﾊﾟｰｸﾊｲﾂ池袋1105,東京都豊島区東池袋１－１７－１１ﾊﾟｰｸﾊｲツ池袋１１０５,,74830,東京都,豊島区,東池袋１,313,新規,飲食店営業,弁当,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社大合,株式会社大合,,,1,,,,,
飲食店営業（ｺﾝﾋﾞﾆｴﾝｽｽﾄｱ）,セブンーイレブン前橋天川町店,前橋市天川町3-3,前橋市天川町３－３,,027-223-2355,株式会社セブン－イレブン・ジャパン,永松　文彦,東京都千代田区二番町8-8,東京都千代田区二番町８－８,,312,R04/07/07,R04/07/07,R11/03/31,R04/07/07,新規,,前橋市保健所,株式会社セブン－イレブン・ジャパン,027,027-223-2355,,,,前橋市天川町３－３　,群馬県前橋市天川町３－３,,59777,群馬県,前橋市,天川町,,2022/07/07,2022/07/07,2022/07/07,2029/03/31,,永松　文彦,東京都千代田区二番町８－８,東京都千代田区二番町8-8,東京都千代田区二番町８－８,,72918,東京都,千代田区,二番町,312,新規,飲食店営業,（ｺﾝﾋﾞﾆｴﾝｽｽﾄｱ）,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社セブンイレブン・ジャパン,株式会社セブンイレブンジャパン,,セブンイレブン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
そうざい製造業,ｓｏｋｏｎｏ　ｐｌａｎｔｅ　,前橋市天川原町1-13-2 E棟,前橋市天川原町１－１３－２,E棟,,石澤　笑子,,,,,314,R04/07/13,R04/07/13,R11/03/31,R04/07/13,新規,,前橋市保健所,石澤　笑子,027,,,,,前橋市天川原町１－１３－２　E棟,群馬県前橋市天川原町１－１３－２E棟,,59775,群馬県,前橋市,天川原町１,,2022/07/13,2022/07/13,2022/07/13,2029/03/31,,,,,,,,,,,314,新規,そうざい製造業,,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,石澤　笑子,石澤笑子,,,1,,,,,
飲食店営業（専門料理店）,ＨＫＴ株式会社 （ベトナム料理ＴＨＡＮＨ ＭＡＩ）,前橋市下小出町1-20-5-1F,前橋市下小出町１－２０－５,１F,027-212-8071,ＨＫＴ株式会社,HOANG VU HIEP,前橋市下小出町1-20-5-1F,前橋市下小出町１－２０－５,１F,318,R04/07/14,R04/07/14,R11/06/30,R04/07/14,新規,,前橋市保健所,ＨＫＴ株式会社,027,027-212-8071,,,,前橋市下小出町１－２０－５　１F,群馬県前橋市下小出町１－２０－５１F,,59868,群馬県,前橋市,下小出町１,,2022/07/14,2022/07/14,2022/07/14,2029/06/30,,HOANG VU HIEP,前橋市下小出町１－２０－５,前橋市下小出町1-20-5-1F,群馬県前橋市下小出町１－２０－５－１F,,59868,群馬県,前橋市,下小出町１,318,新規,飲食店営業,専門料理店,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＨＫＴ株式会社,ＨＫＴ株式会社,,,1,,,,,
飲食店営業（自動車営業）,Ｃ２Ｕ,前橋市青柳町198(前橋市内一円）,前橋市青柳町１９８,,,橋爪　香苗,,,,,319,R04/07/14,R04/07/14,R09/09/30,R04/07/14,新規,,前橋市保健所,橋爪　香苗,027,,,,,前橋市青柳町１９８　,群馬県前橋市青柳町１９８,,59759,群馬県,前橋市,青柳町,,2022/07/14,2022/07/14,2022/07/14,2027/09/30,,,,,,,,,,,319,新規,飲食店営業,自動車営業,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,橋爪　香苗,橋爪香苗,,,1,,,,,
飲食店営業（スナック）,Ｙｏｕ－Ｋｏ,前橋市千代田町4-2-5　2F,前橋市千代田町４－２－５,２F,,酒井　美和,,,,,315,R04/07/15,R04/07/15,R10/09/30,R04/07/15,新規,,前橋市保健所,酒井　美和,027,,,,,前橋市千代田町４－２－５　２F,群馬県前橋市千代田町４－２－５２F,,59906,群馬県,前橋市,千代田町４,,2022/07/15,2022/07/15,2022/07/15,2028/09/30,,,,,,,,,,,315,新規,飲食店営業,スナック,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,酒井　美和,酒井美和,,,1,,,,,
飲食店営業（スナック）,ラウンジ亜子,前橋市千代田町5-5-12高山ﾋﾞﾙ1F,前橋市千代田町５－５－１２,高山ﾋﾞﾙ１F,,髙野　麻子,,,,,316,R04/07/15,R04/07/15,R10/09/30,R04/07/15,新規,,前橋市保健所,髙野　麻子,027,,,,,前橋市千代田町５－５－１２　高山ﾋﾞﾙ１F,群馬県前橋市千代田町５－５－１２高山ﾋﾞﾙ１F,,59907,群馬県,前橋市,千代田町５,,2022/07/15,2022/07/15,2022/07/15,2028/09/30,,,,,,,,,,,316,新規,飲食店営業,スナック,,,113_群馬県_前橋市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,髙野　麻子,髙野麻子,,,1,,,,,
